Streifen,GI_251007,GI_251201,GI_260304,MGRVI_260304,MGRVI_COLOR_260304,GI_260306,MGRVI_260306,MGRVI_COLOR_260306,GI_251203,MGRVI_251203,MGRVI_COLOR_251203,MGRVI_251201,MGRVI_COLOR_251201
ABAlterObstgarten 01,,0.48097675494271547,,,,0.4243958582939887,0.0733926684931729,#a3e635,,,,0.257974060819365,#4ade80
ABAlterObstgarten 02,,0.4819029585454105,,,,0.4429944781432865,0.1229678533412738,#a3e635,,,,0.25789655634692366,#4ade80
ABAlterObstgarten 03,,0.47651556613348234,,,,0.4384483176915006,0.1311266928912299,#a3e635,,,,0.2530657904852836,#4ade80
ABAlterObstgarten 04,,0.4684783545233705,,,,0.4369846826742464,0.1303150006915971,#a3e635,,,,0.2251500468012612,#4ade80
ABAlterObstgarten 05,,0.4607967373069787,,,,0.4212658428063709,0.0874787311418553,#a3e635,,,,0.1940800142708843,#a3e635
ABAlterObstgarten 06,,0.4541863006021442,,,,0.4011527238954184,0.0339712986682699,#a3e635,,,,0.16119578666623913,#a3e635
ABAlterObstgarten 07,,0.4570330103162464,,,,0.4044722314773188,0.0575996143103908,#a3e635,,,,0.19860127367411817,#a3e635
ABAlterObstgarten 08,,0.4319186046272434,,,,0.3943820319376818,0.0492680664546535,#a3e635,,,,0.12602582313467872,#a3e635
ABAlterObstgarten 09,,0.4284052902504575,,,,0.3879036715835281,0.0404632421604811,#a3e635,,,,0.12660322571324698,#a3e635
ABAlterObstgarten 10,,0.4313436459671979,,,,0.3865359202390431,0.0495642306844896,#a3e635,,,,0.14994599443247575,#a3e635
ABAlterObstgarten 100,,0.3388138470059669,,,,0.3542844427476496,-0.0043957963459553,#eab308,,,,-0.0660255055144661,#eab308
ABAlterObstgarten 101,,0.362115463723879,,,,0.3518833700223645,-0.0077425943607062,#eab308,,,,0.027862991488695563,#a3e635
ABAlterObstgarten 102,,0.3797605460300468,,,,0.367170393899515,0.0256065495830806,#a3e635,,,,0.0819980496474302,#a3e635
ABAlterObstgarten 103,,0.3529656177158881,,,,0.3566828087663593,0.0064760422757059,#a3e635,,,,0.0007780445627343451,#a3e635
ABAlterObstgarten 104,,0.34139967272390986,,,,0.3638160711841022,0.0243950141369483,#a3e635,,,,-0.051109119850499055,#eab308
ABAlterObstgarten 105,,0.3278601428393198,,,,0.3434174655101263,-0.0295313202953478,#eab308,,,,-0.10412490229188676,#eab308
ABAlterObstgarten 106,,0.35814041012415987,,,,0.3545242156821782,-0.0186524365041165,#eab308,,,,0.052797507730898675,#a3e635
ABAlterObstgarten 107,,0.3284766403213683,,,,0.3427621910868231,-0.0407671023894821,#eab308,,,,-0.10723261897798053,#eab308
ABAlterObstgarten 108,,0.33882633393143863,,,,0.3550326162516822,-0.0067260460303419,#eab308,,,,-0.06753376950694441,#eab308
ABAlterObstgarten 109,,0.41197490866307174,,,,0.3584206828104054,-0.0145486081008543,#eab308,,,,0.18594031552941767,#a3e635
ABAlterObstgarten 11,,0.43259341904726445,,,,0.3880501311859398,0.0603515448198531,#a3e635,,,,0.16583387880250847,#a3e635
ABAlterObstgarten 110,,0.3315647343316793,,,,0.3395657888433761,-0.0538337235962155,#eab308,,,,-0.09966284799466113,#eab308
ABAlterObstgarten 111,,0.33434126613401244,,,,0.3581836447342958,0.0015922795741092,#a3e635,,,,-0.10181399536543875,#eab308
ABAlterObstgarten 112,,0.33638727155874903,,,,0.3445748564036285,-0.0521371570996959,#eab308,,,,-0.08531945669617985,#eab308
ABAlterObstgarten 113,,0.3348474434509382,,,,0.3516774864812955,-0.0192428232132471,#eab308,,,,-0.09216756559552577,#eab308
ABAlterObstgarten 114,,0.33368326038220875,,,,0.3419255349980175,-0.0491425643103638,#eab308,,,,-0.09322946158089009,#eab308
ABAlterObstgarten 115,,0.33257894413568595,,,,0.3394069408221423,-0.0550589573661822,#eab308,,,,-0.09617966541425071,#eab308
ABAlterObstgarten 116,,0.33972813533442,,,,0.3531744903428498,-0.0226719895633832,#eab308,,,,-0.07786882810480802,#eab308
ABAlterObstgarten 117,,0.35138260124633713,,,,0.3795972137046373,0.0532998379908855,#a3e635,,,,-0.03428141270090985,#eab308
ABAlterObstgarten 118,,0.3301250097353084,,,,0.3480590134401038,-0.0309193912528365,#eab308,,,,-0.11755650867786535,#eab308
ABAlterObstgarten 119,,0.3436010109600001,,,,0.3603523062752036,-0.0023672485518767,#eab308,,,,-0.06502276688861654,#eab308
ABAlterObstgarten 12,,0.44108372050923467,,,,0.3795156964568236,0.0241573531866738,#a3e635,,,,0.19917821484763187,#a3e635
ABAlterObstgarten 120,,0.33806730286252235,,,,0.3641204352399048,0.0004469382613606,#a3e635,,,,-0.08804429589253643,#eab308
ABAlterObstgarten 121,,0.3391520803543207,,,,,,#94a3b8,,,,-0.08056373420651324,#eab308
ABAlterObstgarten 122,,0.3293911487879074,,,,,,#94a3b8,,,,-0.114225864656911,#eab308
ABAlterObstgarten 123,,0.33025561827984823,,,,,,#94a3b8,,,,-0.1170006934857482,#eab308
ABAlterObstgarten 124,,0.33546350838065975,,,,,,#94a3b8,,,,-0.09691810975958293,#eab308
ABAlterObstgarten 125,,0.3391256441431318,,,,,,#94a3b8,,,,-0.0923085686538267,#eab308
ABAlterObstgarten 126,,0.3331134437046178,,,,,,#94a3b8,,,,-0.1204840847081614,#eab308
ABAlterObstgarten 127,,0.3295343526900506,,,,,,#94a3b8,,,,-0.13498945096621123,#eab308
ABAlterObstgarten 128,,0.3499231129434886,,,,,,#94a3b8,,,,-0.062201921198502375,#eab308
ABAlterObstgarten 129,,0.4472421082841987,,,,,,#94a3b8,,,,0.22283180674732164,#4ade80
ABAlterObstgarten 13,,0.44611609085599185,,,,0.3870586744645002,0.0442849833484358,#a3e635,,,,0.2181859334420774,#4ade80
